Points:0,Points:1,C
5.0406914e+00,1.6988299e-01,2.7863842e-03
7.8136627e+00,1.6989597e-01,1.8663167e-09
5.9143353e+00,1.7076698e-01,2.5791250e-06
6.0298917e+00,1.7105511e-01,1.7299793e-06
6.5452884e-01,1.7125589e-01,1.9615567e-23
6.9999125e+00,1.7135229e-01,1.1683261e-07
1.9515800e-01,1.7144185e-01,1.0448338e-23
1.1408311e+00,1.7232421e-01,1.8313548e-23
3.0309428e+00,1.7382527e-01,2.9225684e-02
4.7592985e+00,1.7492633e-01,1.7480192e-02
1.2585260e+00,1.7502985e-01,1.8649774e-23
5.8049550e+00,1.7506405e-01,3.7488977e-06
1.4899527e+00,1.7547663e-01,1.9850551e-23
5.3091323e+00,1.7593169e-01,3.5068096e-04
5.1965388e+00,1.7684923e-01,9.6835604e-04
1.8353700e+00,1.7748689e-01,2.2735333e-23
9.9624582e+00,1.7911106e-01,6.1944233e-15
1.3727775e+00,1.7913278e-01,1.8896725e-23
1.9665594e+00,1.8015475e-01,2.3651879e-23
1.7643876e+00,1.8067430e-01,2.3110768e-23
1.0226704e+00,1.8145002e-01,1.8213493e-23
4.9368476e+00,1.8176754e-01,6.9552304e-03
5.5312838e-01,1.8424382e-01,1.9293343e-23
5.0894152e+00,1.8631803e-01,2.7399940e-03
9.0684310e-01,1.8636186e-01,1.8415286e-23
7.4834845e-01,1.8962358e-01,1.8383137e-23
3.8951587e-01,1.9498639e-01,1.6303275e-23
5.4755565e+00,1.9532608e-01,5.7235749e-05
5.4139046e+00,1.9805280e-01,1.1207565e-04
7.9975421e-01,1.9818094e-01,1.8719658e-23
4.8755898e+00,2.0030150e-01,1.0874980e-02
4.4745123e-01,2.0156245e-01,1.7105953e-23
4.9868544e+00,2.1018855e-01,6.8931160e-03
9.8206666e+00,2.1212548e-01,6.3944187e-15
3.1364428e+00,2.1433071e-01,2.8082837e-02
3.5910549e+00,2.1536164e-01,3.9686970e-02
9.7068914e+00,2.1877187e-01,6.0032288e-15
3.2496235e+00,2.1888151e-01,3.6686424e-02
9.2358930e+00,2.2025972e-01,7.9130750e-15
9.3537027e+00,2.2039602e-01,5.9928650e-15
8.6642755e+00,2.2048991e-01,8.9895864e-13
9.4718525e+00,2.2054737e-01,4.9849907e-15
9.5901421e+00,2.2069837e-01,5.1891662e-15
2.7952412e-01,2.2211540e-01,1.5833161e-23
3.4703406e+00,2.2240084e-01,3.8928642e-02
1.1175375e-01,2.2305860e-01,1.3299363e-23
5.7484737e-02,2.2337676e-01,1.1793499e-23
8.7762411e+00,2.2347274e-01,2.8656655e-13
8.1919867e+00,2.2394947e-01,1.4514640e-10
3.3590339e+00,2.2434751e-01,3.6878559e-02
6.1576577e+00,2.2442320e-01,2.2351396e-06
8.5451851e+00,2.2451269e-01,3.2608515e-12
6.2181541e+00,2.2476590e-01,2.1401561e-06
4.1656958e+00,2.2499491e-01,3.6501102e-02
2.2196159e-01,2.2523359e-01,1.2536886e-23
6.6199316e+00,2.2539056e-01,1.3753262e-06
6.5552715e+00,2.2561566e-01,1.3699309e-06
9.1206065e+00,2.2572183e-01,1.4556045e-14
8.0720816e+00,2.2588599e-01,5.4297157e-10
5.7276600e+00,2.2656901e-01,1.0724465e-05
3.8179712e+00,2.2659221e-01,4.1475528e-02
6.4427709e+00,2.2679872e-01,1.5816159e-06
3.9319614e+00,2.2720190e-01,4.0960344e-02
3.7087129e+00,2.2739325e-01,4.0112412e-02
6.3261167e+00,2.2742711e-01,2.0063770e-06
7.1262023e+00,2.2776199e-01,2.6033502e-07
5.6136640e+00,2.2802355e-01,2.2915952e-05
4.0470707e+00,2.2806584e-01,4.0184940e-02
6.9052978e+00,2.2882395e-01,4.2796634e-07
6.7757615e+00,2.2893452e-01,6.8022366e-07
4.2852742e+00,2.2904125e-01,3.8578380e-02
4.4015433e+00,2.2915858e-01,3.2698032e-02
3.0702371e+00,2.3040758e-01,2.8129972e-02
7.2385896e+00,2.3049583e-01,2.0293258e-07
8.4209656e+00,2.3096579e-01,1.2539640e-11
8.8858066e+00,2.3139942e-01,9.5780983e-14
4.5150304e+00,2.3153294e-01,3.1427687e-02
8.3035332e+00,2.3170219e-01,4.5114836e-11
6.0221870e+00,2.3198768e-01,4.9723960e-06
7.0167321e+00,2.3272884e-01,3.4471887e-07
7.9436938e+00,2.3277669e-01,2.1390363e-09
7.5752846e+00,2.3284010e-01,3.8055000e-08
7.3495207e+00,2.3368721e-01,1.4230610e-07
7.4604607e+00,2.3387332e-01,7.8607113e-08
7.6928560e+00,2.3490117e-01,1.6984934e-08
4.6297257e+00,2.3522377e-01,2.6106644e-02
1.6204015e+00,2.3586410e-01,1.9856696e-23
7.8153389e+00,2.3696739e-01,7.0471385e-09
5.9165387e+00,2.3758127e-01,6.7617553e-06
8.9945318e+00,2.3784742e-01,3.4190184e-14
5.8190690e+00,2.3941597e-01,9.5192501e-06
1.9323804e+00,2.3994125e-01,2.5362593e-23
1.8653144e+00,2.4029647e-01,2.4297996e-23
6.6811219e-01,2.4118391e-01,1.8642806e-23
9.9290547e+00,2.4172039e-01,6.3126330e-15
4.7441192e+00,2.4398852e-01,1.9656927e-02
1.7349680e+00,2.4497400e-01,2.1492851e-23
9.7621845e+00,2.4501402e-01,6.1514081e-15
5.1844828e+00,2.4540939e-01,1.7556636e-03
1.1494052e+00,2.4590458e-01,1.6568106e-23
5.2949759e+00,2.4636597e-01,7.0133674e-04
3.5277031e+00,2.4715957e-01,3.9849368e-02
1.4987106e+00,2.4782642e-01,1.9132702e-23
5.4994529e+00,2.4849589e-01,7.6738066e-05
1.2677025e+00,2.4854541e-01,1.6957403e-23
3.3013519e+00,2.5051837e-01,3.6992728e-02
7.2122919e-01,2.5102671e-01,1.7835610e-23
3.6499763e+00,2.5111811e-01,4.0355624e-02
9.8659530e+00,2.5207811e-01,6.4121543e-15
1.3831865e+00,2.5244048e-01,1.7211103e-23
9.6520114e+00,2.5255213e-01,5.3970946e-15
5.0853967e+00,2.5260525e-01,3.6929608e-03
9.1854330e+00,2.5288575e-01,1.0411978e-14
3.1855308e+00,2.5290293e-01,3.4191557e-02
3.8750953e+00,2.5313935e-01,4.1732023e-02
6.3829805e+00,2.5336053e-01,2.0197571e-06
9.3000913e+00,2.5339545e-01,6.6311416e-15
9.4176408e+00,2.5358532e-01,4.7562372e-15
5.4014280e+00,2.5362169e-01,2.7517739e-04
9.5356341e+00,2.5375342e-01,4.9923092e-15
8.7238980e+00,2.5409984e-01,7.5676257e-13
1.0342340e+00,2.5418203e-01,1.7127771e-23
8.6088436e+00,2.5461182e-01,2.6937912e-12
5.6799847e+00,2.5503322e-01,2.2195357e-05
5.6175626e-01,2.5508475e-01,1.8763977e-23
4.1055368e+00,2.5537651e-01,3.9794804e-02
6.8459911e+00,2.5634446e-01,6.6155445e-07
3.4123348e+00,2.5664147e-01,3.8895499e-02
8.1367705e+00,2.5688570e-01,4.8097341e-10
4.8622031e+00,2.5706851e-01,1.2057361e-02
7.0752028e+00,2.5922009e-01,3.4665922e-07
8.4876022e+00,2.5987066e-01,1.0868170e-11
6.2623955e+00,2.5997490e-01,2.4863020e-06
9.1726861e-01,2.6028676e-01,1.7658589e-23
6.5066004e+00,2.6065661e-01,1.8307989e-06
4.2234752e+00,2.6069665e-01,3.8386875e-02
8.8338348e+00,2.6075088e-01,2.3287215e-13
3.7612294e+00,2.6085473e-01,4.1321525e-02
4.3396069e+00,2.6100820e-01,4.0189076e-02
7.1873998e+00,2.6130747e-01,2.6614989e-07
8.2520651e+00,2.6132784e-01,1.2706559e-10
4.9808929e+00,2.6146690e-01,7.0695210e-03
3.6647849e-01,2.6189835e-01,1.7021188e-23
3.9897231e+00,2.6232902e-01,4.0712076e-02
4.4546152e+00,2.6269569e-01,3.4116108e-02
8.0100505e+00,2.6275079e-01,1.9641157e-09
5.9655904e+00,2.6395214e-01,6.8963110e-06
6.9644547e+00,2.6450292e-01,5.2553841e-07
7.2990109e+00,2.6489171e-01,2.0782174e-07
7.5212309e+00,2.6499871e-01,7.8326186e-08
7.6357458e+00,2.6528789e-01,3.7467917e-08
9.0613822e+00,2.6537453e-01,2.6469634e-14
8.3659543e+00,2.6557530e-01,4.0750620e-11
4.5695703e+00,2.6633516e-01,3.0008906e-02
7.4088483e+00,2.6641919e-01,1.4422819e-07
8.1141653e-01,2.6688152e-01,1.7857796e-23
6.1245520e+00,2.6692528e-01,4.9583489e-06
5.7783626e+00,2.6711809e-01,1.0889584e-05
5.5583282e+00,2.6726391e-01,7.3965558e-05
7.8808361e+00,2.6793708e-01,6.8715224e-09
1.6756804e+00,2.6809427e-01,2.0343638e-23
6.0629133e+00,2.6821587e-01,5.1036510e-06
7.7542126e+00,2.6874731e-01,1.6573832e-08
8.9410061e+00,2.6891297e-01,7.3790899e-14
3.1280758e-01,2.7025457e-01,1.7179206e-23
4.6033365e-01,2.7039176e-01,1.8304866e-23
6.6519287e+00,2.7120141e-01,1.7025416e-06
4.6845384e+00,2.7124791e-01,2.6169846e-02
5.8693922e+00,2.7212413e-01,9.6233033e-06
1.9712615e-01,2.7256556e-01,1.4099385e-23
6.7211940e+00,2.7456850e-01,1.6422970e-06
1.4252707e-01,2.7474295e-01,1.4122494e-23
5.2362816e+00,2.7744445e-01,1.7301116e-03
2.9792070e-02,2.7779864e-01,1.1773699e-23
1.5590152e+00,2.7820503e-01,1.8694504e-23
5.3491617e+00,2.7834839e-01,6.8030990e-04
5.1302743e+00,2.7869167e-01,3.6409295e-03
6.2212903e-01,2.8120459e-01,1.8271398e-23
4.7996900e+00,2.8160495e-01,1.8355760e-02
5.4521603e+00,2.8203050e-01,2.6674289e-04
1.2114157e+00,2.8281900e-01,1.6340821e-23
1.0938171e+00,2.8563871e-01,1.7082160e-23
1.4431389e+00,2.8661425e-01,1.7461540e-23
5.0307113e+00,2.8744856e-01,6.8594401e-03
1.3280636e+00,2.8812177e-01,1.6874274e-23
4.9174994e+00,2.8981289e-01,1.2006748e-02
3.0392943e+00,2.9187642e-01,2.4480277e-02
9.7752376e-01,2.9229864e-01,1.6998503e-23
7.5548749e-01,2.9455245e-01,1.7677512e-23
5.1095138e-01,2.9543794e-01,1.8668438e-23
8.6115473e-01,2.9563924e-01,1.7775569e-23
1.9658210e+00,2.9788174e-01,2.1741751e-23
9.9665965e+00,2.9790345e-01,6.0211224e-15
1.8317814e+00,2.9830589e-01,2.2349592e-23
1.7724175e+00,2.9979601e-01,2.1435560e-23
4.0715166e-01,3.0235872e-01,1.8052456e-23
9.7710249e+00,3.0757317e-01,6.1317440e-15
3.4130444e+00,3.1368867e-01,3.8158264e-02
3.5276431e+00,3.1400405e-01,3.9148780e-02
3.1832566e+00,3.1406377e-01,3.3289173e-02
9.8336453e+00,3.1504565e-01,6.3685392e-15
3.6442433e+00,3.1592397e-01,3.8590813e-02
2.2746243e-01,3.1900289e-01,1.5937350e-23
9.6590054e+00,3.1914633e-01,5.4359608e-15
3.7605395e+00,3.1936852e-01,3.8712914e-02
9.1939114e+00,3.1942933e-01,1.0358687e-14
2.8558134e-01,3.1981008e-01,1.7094756e-23
9.3083343e+00,3.1992970e-01,6.0593628e-15
6.2609302e+00,3.2002496e-01,6.8004712e-06
9.4251719e+00,3.2022454e-01,4.3928670e-15
3.8750208e+00,3.2032431e-01,4.0321325e-02
9.5429322e+00,3.2040421e-01,5.0069622e-15
8.6119049e+00,3.2052371e-01,4.7009910e-12
3.2971034e+00,3.2076662e-01,3.5643298e-02
3.9902109e+00,3.2112014e-01,4.0492519e-02
8.7273489e+00,3.2119971e-01,1.2692090e-12
6.5063915e+00,3.2165968e-01,4.2523110e-06
4.1055765e+00,3.2241969e-01,4.1623587e-02
6.3822711e+00,3.2250089e-01,5.3336336e-06
6.9654901e+00,3.2308598e-01,1.7715177e-06
5.6828498e+00,3.2364811e-01,4.9017639e-05
8.1395475e+00,3.2368984e-01,1.2057152e-09
7.0818263e+00,3.2371823e-01,1.3226679e-06
8.4923770e+00,3.2402209e-01,1.9090041e-11
5.9823978e+00,3.2418457e-01,1.1285787e-05
4.2205517e+00,3.2445441e-01,3.7829693e-02
6.8462750e+00,3.2514613e-01,2.3477551e-06
