Points:0,Points:1,C
3.8306930e+00,1.2012576e-01,2.3614977e-02
3.9076161e+00,1.2012576e-01,2.3975212e-02
4.0601395e+00,1.2051536e-01,2.4087580e-02
5.6361461e+00,1.2084980e-01,2.0851201e-05
8.7076127e+00,1.2108566e-01,1.3471183e-12
6.4267285e+00,1.2168855e-01,3.3805506e-06
3.0573865e+00,1.2181284e-01,1.4027337e-02
6.8931327e+00,1.2187357e-01,6.3602290e-07
9.8740003e+00,1.2228628e-01,3.9828744e-14
1.6627926e+00,1.2310087e-01,2.6097280e-06
3.3326791e+00,1.2321837e-01,2.3537358e-02
6.3483335e+00,1.2321885e-01,3.4411389e-06
8.1187430e+00,1.2403960e-01,3.0568796e-10
8.5928989e+00,1.2515629e-01,4.1174132e-12
5.7111836e+00,1.2524128e-01,2.0775487e-05
3.6770618e+00,1.2594481e-01,2.3681592e-02
8.8214097e+00,1.2598908e-01,5.0311753e-13
1.8734314e+00,1.2689412e-01,2.2123036e-06
8.2327336e+00,1.2709138e-01,1.0431390e-10
9.7631173e+00,1.2739628e-01,4.1805496e-14
1.7318855e+00,1.2758071e-01,2.7389772e-06
6.5750728e+00,1.2774063e-01,1.9112332e-06
7.1667144e+00,1.2838228e-01,2.2798080e-07
9.1710859e+00,1.2919021e-01,6.3025975e-14
9.9335181e+00,1.2955137e-01,3.9557758e-14
4.9579751e+00,1.2986113e-01,1.3588114e-02
1.9375547e+00,1.2991721e-01,2.4243257e-06
4.2442071e+00,1.3010279e-01,2.5488318e-02
8.4732916e+00,1.3013458e-01,1.3738875e-11
9.2894861e+00,1.3021579e-01,4.9603345e-14
9.6447722e+00,1.3030546e-01,3.8557702e-14
4.3607851e+00,1.3037904e-01,2.3711339e-02
6.2022092e+00,1.3041099e-01,6.4934417e-06
9.4079301e+00,1.3080637e-01,4.1789355e-14
9.5263358e+00,1.3085855e-01,3.8938488e-14
7.0463946e+00,1.3090554e-01,3.5144734e-07
4.4754206e+00,1.3105433e-01,2.6339448e-02
7.9951976e+00,1.3157292e-01,1.4068751e-09
4.5911810e+00,1.3205619e-01,2.5591895e-02
8.3494656e+00,1.3308119e-01,4.2527608e-11
7.2829752e+00,1.3322871e-01,1.7985562e-07
2.3907686e-01,1.3331523e-01,1.2437667e-06
4.7117686e+00,1.3374579e-01,2.7228606e-02
8.9364485e+00,1.3392978e-01,2.1934254e-13
6.6927165e+00,1.3426681e-01,1.6829553e-06
1.5433947e+00,1.3519428e-01,2.2756594e-06
7.5132363e+00,1.3521551e-01,5.7382599e-08
9.0527728e+00,1.3529783e-01,1.1578220e-13
7.6317393e+00,1.3540106e-01,2.6544048e-08
7.8725751e+00,1.3548472e-01,4.5727746e-09
7.3962434e+00,1.3554712e-01,1.1741663e-07
1.1936652e+00,1.3572307e-01,2.1241424e-06
5.9710917e+00,1.3620529e-01,1.1043195e-05
7.7512585e+00,1.3637599e-01,1.2355549e-08
6.0890678e+00,1.3736317e-01,9.1097822e-06
5.2624940e+00,1.3845000e-01,1.5900762e-03
1.0736795e+00,1.3932634e-01,2.0723084e-06
5.9991781e-01,1.4043564e-01,2.2947128e-06
1.4239720e+00,1.4095675e-01,2.2175257e-06
5.8530749e+00,1.4095792e-01,1.6686244e-05
1.3084782e+00,1.4129851e-01,2.1374959e-06
7.0847818e-01,1.4244147e-01,2.2168794e-06
5.1463488e+00,1.4384428e-01,3.8220367e-03
9.5553466e-01,1.4564174e-01,2.1354161e-06
3.1532372e+00,1.4737460e-01,1.9132912e-02
3.4964169e-01,1.4853585e-01,1.7443885e-06
5.5124599e+00,1.4995440e-01,8.7249568e-05
